Date,CO2(ppm),C6H6(ppm),Alcohol(ppm),NH3(ppm),Temperature(C),Relative_Humidity(%),AQI_NH3
01-01-2000,32.66128779,7.022630793,14.27939656,34.01835876,26.3133459,89.54359801,8.26
02-01-2000,39.21835741,8.353962054,20.37515884,27.37998995,29.45835586,85.11573795,6.04
03-01-2000,29.08769011,9.121641812,16.99019713,40.427167,26.27019519,73.95965978,10.64
04-01-2000,33.22719438,6.864016649,20.07498336,38.84317745,28.67719815,93.56451984,9.6
05-01-2000,32.07470741,10.34409395,23.02394496,34.77939934,29.78649958,59.52816678,8.51
06-01-2000,32.36776177,4.872335863,17.66580206,26.66589765,25.64023576,90.64864497,6.88
07-01-2000,30.73131219,8.029121048,17.64449623,44.30273744,28.21515046,79.21251502,11.68
08-01-2000,24.74641162,9.331623472,18.8954768,30.84804587,28.22176942,84.67260256,7.02
09-01-2000,29.46131597,9.068053822,20.76584886,27.22260474,25.32541265,83.32240924,6.16
10-01-2000,35.16951746,9.14248058,18.25042874,29.36640969,24.73940615,87.99079811,7.68
11-01-2000,29.83404105,10.62595515,21.13020046,38.94822292,30.32802668,95.36411118,9.3
12-01-2000,22.77857092,8.051278558,17.24237871,37.63112574,35.20577402,88.12496822,9.45
13-01-2000,29.49414669,11.99558194,19.08888563,44.326737,34.58542832,88.24905609,11.21
14-01-2000,29.00652534,9.43606747,20.44303198,32.89095959,24.49598869,86.83403125,8.54
15-01-2000,25.66543941,9.170232202,13.37321104,35.48542293,26.84008347,74.81573593,8.75
16-01-2000,32.57162187,7.562089786,16.02365317,28.08273505,28.77607311,98.44436163,7.27
17-01-2000,33.67583773,10.81832961,14.00367615,33.39092751,33.48095775,94.57985332,8.13
18-01-2000,30.40849368,9.994354486,25.36734397,25.09896076,28.84178817,74.8753657,6.33
19-01-2000,34.18501292,10.81670333,24.98443124,22.02983224,27.44674878,78.30038478,5.26
20-01-2000,32.38858709,7.424993113,15.42551656,30.25541667,30.3768724,88.63459755,7.54
21-01-2000,24.10215425,11.88399663,17.39951523,33.64346823,22.4469463,90.49332515,8.43
22-01-2000,28.74634933,6.953471618,16.09113591,35.86039595,35.30659471,95.1864539,8.06
23-01-2000,34.84177604,7.98185868,17.70297383,25.08424349,26.88350415,85.15827452,6.31
24-01-2000,30.1435744,11.84587138,12.86164107,38.50904612,25.90199358,88.93371858,9.9
25-01-2000,40.86124614,8.070917849,14.1238182,36.56768993,32.40463531,81.57700727,9.73
26-01-2000,22.88371795,10.586028,14.46638162,26.22825673,28.99847406,76.6272578,6.85
27-01-2000,29.99922457,9.419383436,21.28862142,34.15851117,24.30300098,74.98884874,8.28
28-01-2000,33.1774105,11.63966322,19.27591579,34.84809765,26.92126078,73.49414897,8.31
29-01-2000,35.38399163,13.31393412,15.56096268,35.59585176,29.5179627,100,8.68
30-01-2000,23.59106652,7.604531585,19.06985788,26.83362742,31.21635747,99.51168297,6.06
31-01-2000,25.70828476,12.60533987,21.42143864,34.27100818,27.95496563,99.0057813,8.87
01-02-2000,41.14329113,10.17811038,16.77651237,40.27528088,35.14941979,81.65177278,10.15
02-02-2000,33.6484654,7.884014006,18.24181865,30.00682982,30.95732021,90.32078883,7.62
03-02-2000,30.78122042,8.253111748,17.05032156,30.6900122,31.46888926,93.38507396,7.4
04-02-2000,30.174645,8.097764251,17.49268289,45.65777855,28.02732135,86.12112543,11.39
05-02-2000,30.39985281,9.129710253,18.81746221,35.81296869,31.24140555,100,8.65
06-02-2000,34.69155508,6.624859881,17.74393036,19.95274286,29.68370024,75.8332448,4.88
07-02-2000,34.29212777,11.76196563,20.22320623,37.86669502,33.82504812,100,9.18
08-02-2000,26.44000254,6.693633658,18.93930934,35.49179385,25.8800684,96.57706589,8.91
09-02-2000,27.90934348,9.665015991,18.63377598,36.79095455,30.34186262,100,9.15
10-02-2000,29.99057355,11.46626354,17.9347759,32.38014008,32.51111922,97.87420104,8.02
11-02-2000,36.63095548,8.288811844,11.32199499,31.12945417,29.44435696,84.58406637,7.91
12-02-2000,34.19027024,12.01520221,18.92742371,45.04514692,26.56842152,66.83406125,11.63
13-02-2000,30.15802022,9.357658813,13.01811485,46.38983829,33.7800322,86.19416402,11.85
14-02-2000,24.85718049,12.00119557,19.924229,31.35259023,24.16264383,97.20685959,7.26
15-02-2000,21.30679587,10.31247951,18.23343905,36.05978481,25.54713264,100,9.74
16-02-2000,36.61838703,6.983844618,16.27307663,35.16827177,33.64663588,85.2833681,8.73
17-02-2000,33.92193251,9.279342373,19.94610846,28.18383464,27.22251418,95.13530037,7.88
18-02-2000,31.94489297,10.30819469,23.2055304,41.16581077,32.06248043,81.61996926,10.3
19-02-2000,34.02557697,12.1504111,15.10968194,39.95091169,34.20534845,96.84719403,9.56
20-02-2000,22.03826519,8.228097089,22.0729493,29.36441629,30.01983954,96.69089279,7.05
21-02-2000,30.98856433,8.127761788,17.69019675,37.00461059,31.7942625,100,9.83
22-02-2000,21.81755739,9.703958737,17.08620894,33.20799516,30.38926177,90.74086183,8.73
23-02-2000,31.84392433,7.9693449,21.4815768,41.08044814,27.71544756,97.76945847,10.89
24-02-2000,24.59550025,13.4654367,18.48210335,37.40362716,21.16886357,77.98225641,9.76
25-02-2000,37.4247585,8.933254066,14.45667821,33.03936171,32.14470979,91.5187725,8.56
26-02-2000,25.04241943,11.76049583,13.29339099,30.19223383,26.52388044,77.49048804,7.11
27-02-2000,22.58310141,7.741875802,20.79406801,33.40175443,28.13371291,79.82633103,8.5
28-02-2000,32.75722437,9.03807297,12.59122493,27.66658923,26.05208995,84.97157112,6.76
29-02-2000,32.14335755,7.079499963,17.5614821,38.0064175,27.19449381,77.5823519,9.87
01-03-2000,29.09467988,9.063817062,26.01869486,33.54773939,24.60664221,70.3122208,8.38
02-03-2000,22.94563071,6.469852772,21.44465559,13.90663877,31.27809922,83.49971489,3.58
03-03-2000,30.20413911,13.74073298,18.34977323,25.47066636,33.16364413,100,6.68
04-03-2000,25.86026741,10.42360052,17.30082154,26.75683662,29.76868791,77.0296497,6.04
05-03-2000,27.43748891,10.40353035,14.80009184,30.45861189,30.66240145,100,7.65
06-03-2000,23.03610802,9.338868075,18.41326427,28.29244406,31.9142008,74.86297998,7.23
07-03-2000,29.38303646,8.300228112,18.77661078,44.70072946,32.7361478,100,11.75
08-03-2000,32.76128643,10.87956693,20.20287013,42.66014199,25.5584276,95.16747826,10.35
09-03-2000,24.84261199,6.186210235,15.43544134,32.11152627,27.56630467,100,8.98
10-03-2000,29.82507555,7.268637374,19.5514791,23.94339886,27.28117052,96.88790295,5.75
11-03-2000,31.8970634,6.537230261,19.62593857,33.61545029,23.53827423,100,8.49
12-03-2000,25.73636673,9.306981124,18.87048478,47.33753779,26.51542955,85.85466658,11.52
13-03-2000,23.44049809,11.72278282,18.92030479,35.87360056,31.41294463,87.77273564,8.38
14-03-2000,28.193911,8.127756356,18.00400305,31.6118621,24.30017078,95.6303835,7.06
15-03-2000,40.26531049,9.339043861,17.61855582,36.63222242,27.53973596,76.87799454,9.57
16-03-2000,32.58277817,9.07386875,16.59310862,39.28167704,32.02425307,71.93187066,9.67
17-03-2000,31.61541983,5.672326847,15.93688695,28.34184542,23.50775402,100,7.76
18-03-2000,27.21492728,10.46673985,21.48177608,26.37818034,27.40958735,63.44099907,6.95
19-03-2000,22.62721965,10.86896324,18.95599931,25.47192621,28.52892507,97.58938153,6.18
20-03-2000,27.00572055,8.330500391,21.19094782,33.64209985,32.82632723,86.47266431,8.37
21-03-2000,32.91566888,13.22897947,17.69840212,32.76115919,29.72688752,91.55785067,8.12
22-03-2000,43.28461484,10.68674505,17.64043262,30.86710643,33.00321837,67.63137565,7.4
23-03-2000,35.37905203,9.330221884,25.19145852,33.1967804,27.12711465,100,8.05
24-03-2000,29.21985863,9.225861639,16.94129686,32.52386352,31.50611264,100,8.47
25-03-2000,33.37031021,8.447620715,18.31034464,30.90261818,33.83596965,82.30039727,7.21
26-03-2000,32.03130248,8.211090191,24.30391884,23.90994284,28.29922492,92.21973574,5.44
27-03-2000,26.52625997,8.567339028,18.63894953,39.00332855,26.53855312,82.90040174,9.02
28-03-2000,35.50472917,11.45494092,18.66309558,40.70001416,24.88976889,84.63245532,10.25
29-03-2000,33.91344882,9.191040054,17.876337,35.30466783,33.01860406,83.25977218,8.5
30-03-2000,42.26645083,9.673475003,20.03061466,31.71505304,30.45298642,82.78549261,7.48
31-03-2000,28.65847287,7.639050822,14.44928573,44.32251588,22.26806636,82.24662681,11.98
01-04-2000,29.11340595,10.02169996,14.31001412,35.36972314,31.66359567,100,8.4
02-04-2000,30.71603892,9.058484999,14.32850942,36.97067521,29.68038988,89.12827087,9.93
03-04-2000,38.15571581,9.184952998,17.9126842,37.10902883,32.28197517,100,9.76
04-04-2000,31.64952267,10.56795573,19.3259742,37.11990105,25.60698327,97.33201146,9.21
05-04-2000,31.05966782,7.731118669,19.71850188,36.91237152,26.98942803,79.51258858,9.4
06-04-2000,28.24555384,8.895376861,21.30941414,23.98095099,25.17197925,75.91698182,5.93
07-04-2000,31.368176,10.24289821,20.87108007,22.2361996,35.44220856,98.15800374,5.39
08-04-2000,35.61139848,9.637263322,18.95942528,41.4625774,31.90198297,100,10.54
09-04-2000,22.11525986,11.61275074,18.63201167,27.57117508,27.87804582,82.81826856,6.34
10-04-2000,28.61548911,9.161471857,18.95153912,23.03306585,27.0932007,93.42465365,5.31
11-04-2000,25.45196056,10.43517809,12.56714948,28.62831665,27.69434821,99.91865708,7.43
12-04-2000,29.38855433,9.709217196,14.03604057,35.05721233,28.1348482,79.77050938,8.67
13-04-2000,36.59848872,9.551659178,16.91286463,36.38654599,30.28021874,88.28168707,9.44
14-04-2000,37.07165768,10.43176033,18.3340769,31.58074089,28.21807751,90.38280689,7.5
15-04-2000,34.51199659,6.311404937,20.92363939,27.00197601,24.90337051,77.89059659,6.02
16-04-2000,19.41103142,5.270559655,18.03936607,32.51998592,28.86541276,81.73928888,8.51
17-04-2000,37.84077848,10.429621,15.69719606,33.54570276,34.61509926,100,8.56
18-04-2000,25.02782903,5.696284844,20.03821244,31.48771655,26.30784983,100,7.36
19-04-2000,30.39837229,9.076506643,20.35884873,45.81892708,26.96114364,100,11.7
